attending_school,case_no,casetype,dcps_school_against,home_school
Anaco sti a Senio r High School,2014-0302,07/01/20 14,Anacost ia Senior High Schoo l,Hart M idd le Schoo l
Anaco sti a Senio r High School,2014-0302,07/01/20 14,H.D. Woodson Senior High School,Hart M idd le Schoo l
H.D. Woodson Senior High Schoo l,2014-0300,07/01/20 14,H.D. Woodson Senior High School,Eastern High Schoo l
Ach ievement Prep Academy Publ ic Charter,2014-0304,07/01/20 14,H.D. Woodson Senior High School,Eastern High Schoo l
Ach ievement Prep Academy Publ ic Charter,2014-0304,07/02/2014,H.D. Woodson Senior High School,Eastern High Schoo l
Accot ink Acade my,2014-0305,07/02/2014,Accot ink Academy,Eastern High Schoo l
Accot ink Academy,2014-0308,07/02/2014,Accot ink Academy,Eastern High Schoo l
Accot ink Academy,2014-0308,07/03/2014,Accot ink Academy,Wash ington Math Science
07/07/2014,07/07/2014,07/07/2014,07/07/2014,07/07/2014
07/08/2014,07/08/2014,07/08/2014,07/08/2014,07/08/2014
. 07/ 09/ 2014,. 07/ 09/ 2014,. 07/ 09/ 2014,. 07/ 09/ 2014,. 07/ 09/ 2014
07/ 11/2014,07/ 11/2014,07/ 11/2014,07/ 11/2014,07/ 11/2014
07/ 14/2014,07/ 14/2014,07/ 14/2014,07/ 14/2014,07/ 14/2014
07/15/2014,07/15/2014,07/15/2014,07/15/2014,07/15/2014
07/18/2014,07/18/2014,07/18/2014,07/18/2014,07/18/2014
-,07/18/2014,07/18/2014,07/18/2014,-
-,07/18/2014,07/18/2014,OTHER,-
Simon Elementa ry School,2014--0329,Against LEA,Simon Elementary School,Simon Elementary School
Simon Elementa ry School,2014--0329,Against LEA,Ballou Senior High School,Simon Elementary School
Ballou Senior High School,2014--0331,Against LEA,Ballou Senior High School,Ballou Senior High School
Amidon Eleme nta ry School,2014--0330,Against LEA,Am idon Elementary,Ketcham Eleme nta ry School
Amidon Eleme nta ry School,2014--0330,Against LEA,Hospital ity PCSH igh School,Ketcham Eleme nta ry School
Amidon Eleme nta ry School,2014--0330,Against LEA,Hospital ity PCS High School,Ketcham Eleme nta ry School
Hospitali ty PCSH,2014--0332,Against LEA,Hospital ity PCS High School,Hospitality PCSH igh School
Hospitali ty PCSH,2014--0332,Against LEA,Hospital ity PCSH igh School,Hospitality PCSH igh School
Hospitali ty PCSH,2014--0332,Against LEA,"Phelps Architecture, Const ruction,",Hospitality PCSH igh School
"Phelps Architecture, Construct ion , and",2014--0332,Against LEA,"Phelps Architecture, Const ruction,",Hospitality PCSH igh School
"Phelps Architecture, Construct ion , and",2014--0333,Against LEA,"Phelps Architecture, Const ruc tion, and Engineeri ng HS",Hospitality PCSH igh School
Engin eering HS,2014--0333,Against LEA,"Phelps Architecture, Const ruc tion, and Engineeri ng HS",Hospitality PCSH igh School
Engin eering HS,2014--0333,Against LEA,"Phelps Architec ture, Const ruc tion, and Engineeri ng HS",Hospitality PCSH igh School
Engin eering HS,2014--0333,Against LEA,Kingsbury Day School,Hospitality PCSH igh School
Kingsbury Day School,2014--0334,Against LEA,Kingsbury Day School,Roosevelt High School
Kingsbury Day School,2014--0334,Against LEA,Ballou Senior High School,Roosevelt High School
Archbishop carro ll High School,2014--0335,Against LEA,Ballou Senior High School,Ballou Senio r High Schoo l
Archbishop carro ll High School,2014--0335,Against LEA,Whittie r Eleme nta ry School,Ballou Senio r High Schoo l
W hit t ier Elementar y School,2014--0338,Against LEA,Whittie r Eleme nta ry School,Ballou Senio r High Schoo l
W hit t ier Elementar y School,2014--0338,Against LEA,Whit t ie r Eleme ntary School,Ballou Senio r High Schoo l
Accot ink Academy,2014--0337,Against LEA,Accotink Academy,Ballou Senio r High Schoo l
Accot ink Academy,2014--0337,Against LEA,McKinley Technology High,Ballou Senio r High Schoo l
Mc Kinley Technology High,2014--0340,Against LEA,McKinley Technology High,Mc Kinley Technology High
Cente r City PCS,2014--0339,Against LEA,McKinley Technology High,Walker-Jones/T urne r EC
Paul PCS,2014--0343,Against LEA,McKinley Technology High,Eastern High School
Paul PCS,2014--0343,Against LEA,Kelly M iller MS,Eastern High School
Kelly Mil ler MS,2014--0341,Against LEA,Kelly M iller MS,Kelly Mille r MS
Kelly Mil ler MS,2014--0341,Against LEA,Easte rn High School,Kelly Mille r MS
Kelly Mil ler MS,2014--0341,Against LEA,Eastern High School,Kelly Mille r MS
Non-Attend ing,2014--0342,Against LEA,Eastern High School,Eastern High School
Non-Attend ing,2014--0342,Against LEA,Garr ison ES,Eastern High School
Excel Academy,2014-0269,Aga inst LEA,Garr ison ES,Eastern High School
Excel Academy,2014-0269,Aga inst LEA,Garrison ES,Eastern High School
Excel Academy,2014-0269,Aga inst LEA,Kimba ll Elementary School,Eastern High School
Kim ball Elementa ry Schoo l,2014-0344,Aga inst LEA,Kimba ll Elementary School,Kim ball Eleme ntary School
Kim ball Elementa ry Schoo l,2014-0344,Aga inst LEA,Kimba ll Elementary Schoo l,Kim ball Eleme ntary School
Kim ball Elementa ry Schoo l,2014-0344,Aga inst LEA,Paul PCS,Kim ball Eleme ntary School
Paul PCS,2014-0345,Aga inst LEA,Paul PCS,Kim ball Eleme ntary School
Paul PCS,2014-0345,Aga inst LEA,Dunbar High Schoo l,Kim ball Eleme ntary School
Paul PCS,2014-0345,Aga inst LEA,Dunbar High School,Kim ball Eleme ntary School
Dunbar High School,2014-0346,Aga inst LEA,Dunbar High School,Kim ball Eleme ntary School
Dunbar High School,2014-0346,Aga inst LEA,Dunbar High Schoo l,Kim ball Eleme ntary School
Dunbar High School,2014-0346,Aga inst LEA,Wilson Senior High School,Kim ball Eleme ntary School
Nora School,2014-0347,Aga inst LEA,Wilson Senior High School,Wilson Senior High School
Nora School,2014-0347,Aga inst LEA,Hart Mid dle School,Wilson Senior High School
OTHER,2014-0348,Aga inst LEA,Hart M iddle School,Hart M idd le School
OTHER,2014-0348,Aga inst LEA,Incarcerated Yout h Progra m Correctional,Incarcerated You th Program
Non -Attend,2014-0336,Aga inst LEA,Incarcerated Yout h Progra m Correctional,Incarcerated You th Program
Non -Attend,2014-0336,Aga inst LEA,Incarcerated Youth Program Correctional Detention Facility,Correctional Detent ion Facility
Non -Attend,2014-0336,Aga inst LEA,Thomas Elementary School,Correctional Detent ion Facility
Thomas Elementary Schoo l,2014-0351,Aga inst LEA,Thomas Elementary School,Thomas Elemen tary School
Thomas Elementary Schoo l,2014-0351,Aga inst LEA,Thomas Elementa ry Schoo l,Thomas Elemen tary School
Thomas Elementary Schoo l,2014-0351,Aga inst LEA,"Harris.,C .W. ES",Thomas Elemen tary School
"Harr is, C.W. ES",2014-0350,Aga inst LEA,"Harris, c.w. ES","Harr is, C.W . ES"
"Harr is, C.W. ES",2014-0350,Aga inst LEA,"Harris,C .W. ES","Harr is, C.W . ES"
"Harr is, C.W. ES",2014-0350,Aga inst LEA,H.D. Woodson Senior High School,"Harr is, C.W . ES"
H.D. Woodson Senior High Schoo l,2014-0352,Aga inst LEA,H.D. Woodson Senior High School,"Harr is, C.W . ES"
Potoma c Light house PCS,2014-0353,Aga inst LEA,H.D. Woodson Senior High School,"Harr is, C.W . ES"
Potoma c Light house PCS,2014-0353,Aga inst LEA,Payne Elementary Schoo l,"Harr is, C.W . ES"
Payne Elementar y Schoo l,2014-0355,Aga inst LEA,Payne Elementary Schoo l,"Harr is, C.W . ES"
Payne Elementar y Schoo l,2014-0355,Aga inst LEA,Payne Eleme ntary Schoo l,"Harr is, C.W . ES"
Payne Elementar y Schoo l,2014-0355,Aga inst LEA,Payne Elementary School,"Harr is, C.W . ES"
Payne Elementary,2014-0356,Aga inst LEA,Payne Elementar y School,Payne Elementary School
Payne Elementary,2014-0356,Aga inst LEA,Payne Elementary Schoo l,Payne Elementary School
Payne Elementary,2014-0356,Aga inst LEA,Thomas Element ary Schoo l,Payne Elementary School
Payne Elementary,2014-0356,Aga inst LEA,Thomas Elementary School,Payne Elementary School
Thomas Elementary,2014-0354,Aga inst LEA,Thomas Elementary School,Payne Elementary School
Thomas Elementary,2014-0354,Aga inst LEA,Thomas Elementary Schoo l,Payne Elementary School
Eagle Academy PCS,2014--0359,Against LEA,Thomas Elementary School,Payne Elementary School
Eagle Academy PCS,2014--0359,Against LEA,Shaw MS@ Garnet -Patterson,Payne Elementary School
Eastern High School,2014--0357,Expedited Discipline,Shaw MS@ Garnet -Patterson,Eastern High School
Eastern High School,2014--0357,Expedited Discipline,Whittie r Elementary School,Eastern High School
Eastern High School,2014--0357,Expedited Discipline,Whit t ier Elementa ry School,Eastern High School
Eastern High School,2014--0357,Expedited Discipline,Whittie r Elementa ry School,Eastern High School
W hit t ier Elementary School,2014--0360,Against LEA,Whittie r Elementa ry School,Eastern High School
W hit t ier Elementary School,2014--0360,Against LEA,Whittie r Elementary School,Eastern High School
W hit t ier Elementary School,2014--0360,Against LEA,Housto n Elementary School,Eastern High School
Houston Elementa ry School,2014--0363,Against LEA,Housto n Elementary School,Houston Elementa ry School
Houston Elementa ry School,2014--0363,Against LEA,Houston Elementary School,Houston Elementa ry School
Houston Elementa ry School,2014--0363,Against LEA,Cardozo High School,Houston Elementa ry School
Cardozo High School,2014--0362,Against LEA,Cardozo High School,Cardozo Educational Campus
Cardozo High School,2014--0362,Against LEA,Kramer M iddle School,Cardozo Educational Campus
Kramer M iddle School,2014--0361,Against LEA,Kramer M iddle School,Kramer M iddle School
Kramer M iddle School,2014--0361,Against LEA,Hardy MS@ Hamilton School,Kramer M iddle School
Hardy MS@ Hamilton School,2014--0358,Against LEA,Hardy MS@ Hamilton School,Kramer M iddle School
Hardy MS@ Hamilton School,2014--0358,Against LEA,Hardy MS@ Hamilt on School,Kramer M iddle School
Hardy MS@ Hamilton School,2014--0358,Against LEA,Watk ins Elementary School,Kramer M iddle School
Wat kins Elementary School,2014--0364,Against LEA,Watk ins Elementary School,Kramer M iddle School
Wat kins Elementary School,2014--0364,Against LEA,Houston Elementary School,Kramer M iddle School
Houston Eleme ntary School,2014-0365,Aga inst LEA,Houston Elementary School,Houston Eleme ntary School
Houston Eleme ntary School,2014-0365,Aga inst LEA,Ma nn Elementary School,Houston Eleme ntary School
Mann Elementary Schoo l,2014-0238,Aga inst LEA,Mann Elementary School,Man n Elemen tary School
Mann Elementary Schoo l,2014-0238,Aga inst LEA,Ma nn Elementa ry School,Man n Elemen tary School
OTHER,2014-0366,Aga inst LEA,Ma nn Elementa ry School,Brook land ES @ Bunker Hill
OTHER,2014-0366,Aga inst LEA,Shepherd ES,Brook land ES @ Bunker Hill
OTHER,2014-0367,Aga inst LEA,Shepherd ES,Shepherd ES
OTHER,2014-0367,Aga inst LEA,Eastern High School,Shepherd ES
Eastern High Schoo l,2014-0368,Aga inst LEA,Eastern High School,Shepherd ES
Eastern High Schoo l,2014-0368,Aga inst LEA,Lab Schoo l of Wash ington,Shepherd ES
Lab School of Was hingto n,2014-0369,Aga inst LEA,Lab Schoo l of Wash ington,Wi lson Senior High Schoo l
Ludlow-Tay lor ES,2014-0370,Aga inst LEA,Ludlow-Taylo r ES,Wi lson Senior High Schoo l
Lab School of Was hington,2014-0372,Aga inst LEA,Lab Schoo l of Wash ington,Mau ry Elementary Schoo l
Lab School of Was hington,2014-0372,Aga inst LEA,Kathe rine Thoma s,Mau ry Elementary Schoo l
Lab School of Was hington,2014-0372,Aga inst LEA,Katherine Thomas,Mau ry Elementary Schoo l
Katheri ne Thomas,2014-0371,Aga inst LEA,Kather ine Thomas,Eaton Elemen tary Schoo l
Katheri ne Thomas,2014-0371,Aga inst LEA,Katherine Thomas,Eaton Elemen tary Schoo l
Katheri ne Thomas,2014-0371,Aga inst LEA,John Burroughs EC,Eaton Elemen tary Schoo l
John Burroughs EC,2014-0374,Aga inst LEA,John Burroughs EC,John Burro ughs EC
John Burroughs EC,2014-0374,Aga inst LEA,John Burro ughs EC,John Burro ughs EC
John Burroughs EC,2014-0374,Aga inst LEA,Smothers ES,John Burro ughs EC
Smot hers ES,2014-0380,Aga inst LEA,Smothe rs ES,Smothers ES
Smot hers ES,2014-0380,Aga inst LEA,Smothers ES,Smothers ES
Smot hers ES,2014-0380,Aga inst LEA,Ballou Senior High School,Smothers ES
Ballou Senio r High School,2014-0377,Aga inst LEA,Ballou Senior High School,Smothers ES
KIPP (All Campuses),2014-0381,Aga inst LEA,Ballou Senior High School,KIPP (All Campuses)
KIPP (All Campuses),2014-0381,Aga inst LEA,Hyde ES,KIPP (All Campuses)
OTHER,2014-0379,Aga inst LEA,Hyde ES,Hyde ES
Dunbar High School,2014-0378,Expedited Discip line,Hyde ES,Dunbar High School
Dunbar High School,2014-0378,Expedited Discip line,IDEAL Academy PCS( all campuses),Dunbar High School
Dunbar High School,2014-0378,Expedited Discip line,IDEAL Academy PCS (all campuses),Dunbar High School
IDEAL Acade my PCS( all campuses),2014-0376,Expedited Discipline,IDEAL Academy PCS (all campuses),Dunbar High School
IDEAL Acade my PCS( all campuses),2014-0376,Expedited Discipline,School W ithout Walls High School,Dunbar High School
Schoo l Without Walls High Schoo l,2014-0382,Expedited Discipline,School W ithout Walls High School,Eastern High Schoo l
Lab School of Was hington,2014-0383,Aga inst LEA,School W ithout Walls High School,Oyster Adams Bili ngual
Lab School of Was hington,2014-0383,Aga inst LEA,Garri son ES,Oyster Adams Bili ngual
Garrison ES,2014-0384,Aga inst LEA,Garri son ES,Garris on ES
Garrison ES,2014-0384,Aga inst LEA,Garr ison ES,Garris on ES
Garrison ES,2014-0384,Aga inst LEA,Hart M iddle School,Garris on ES
Non-Attend,2014-0385,Aga inst LEA,Hart M iddle School,Garris on ES
Non-Attend,2014-0385,Aga inst LEA,Hart Middle School,Garris on ES
Non-Attend,2014-0385,Aga inst LEA,Hart Midd le School,Garris on ES
Kingsb ury Day Schoo l,2014-0387,Aga inst LEA,Hart Midd le School,Garris on ES
Kingsb ury Day Schoo l,2014-0387,Aga inst LEA,Patterson ES,Garris on ES
Patterso n ES,2014-0388,Aga inst LEA,Patterson ES,Garris on ES
Patterso n ES,2014-0388,Aga inst LEA,Patterso n ES,Garris on ES
Patterso n ES,2014-0388,Aga inst LEA,Patte rson ES,Garris on ES
IDEAL Acade my PCS( all campuses),2014-0386,Aga inst LEA,Patte rson ES,Savoy Elementary Schoo l
IDEAL Acade my PCS( all campuses),2014-0386,Aga inst LEA,Lab Schoo l of Washington,Savoy Elementary Schoo l
Lab School of Was hington,2014-0389,Aga inst LEA,Lab Schoo l of Wash ington,Key Eleme ntary School
Lab School of Was hington,2014-0389,Aga inst LEA,Lab Schoo l of Washington,Key Eleme ntary School
Lab School of Was hington,2014-0389,Aga inst LEA,Dunbar High School,Key Eleme ntary School
Dunbar High School,2014-0390,Aga inst LEA,Dunbar High School,Key Eleme ntary School
Dunbar High School,2014-0390,Aga inst LEA,HD Cooke Elementary School,Key Eleme ntary School
Dunbar High School,2014-0390,Expedited NON,HD Cooke Elementary School,Key Eleme ntary School
HD Cooke Elementary,2014-0391,Expedited NON,HD Cooke Elementar y School,Key Eleme ntary School
HD Cooke Elementary,2014-0391,Discipline,HD Cooke Elementar y School,Key Eleme ntary School
HD Cooke Elementary,2014-0391,Discipline,HD Cooke Elementary School,Key Eleme ntary School
HD Cooke Elementary,2014-0391,Discipline,Kramer M idd le School,Key Eleme ntary School
HD Cooke Elementary,2014-0391,Discipline,Kramer Middle School,Key Eleme ntary School
Kramer M idd le School,2014-0392,Aga inst LEA,Krame r Middle School,Kramer M iddle School
Kramer M idd le School,2014-0392,Aga inst LEA,Krame r M iddle School,Kramer M iddle School
Kramer M idd le School,2014-0392,Aga inst LEA,Kramer M iddle School,Kramer M iddle School
Kramer M idd le School,2014-0392,Aga inst LEA,Kramer Middle School,Kramer M iddle School
Kramer M idd le School,2014-0392,Aga inst LEA,Dunbar High Schoo l,Kramer M iddle School
Kramer M idd le School,2014-0392,Aga inst LEA,Dunbar High School,Kramer M iddle School
Dunbar High School,2014-0393,Aga inst LEA,Dunbar High School,Kramer M iddle School
Dunbar High School,2014-0393,Aga inst LEA,Dunba r High School,Kramer M iddle School
Opt ions PCS,2014-0395,Aga inst LEA,Dunba r High School,Ballou Senior High Schoo l
Maya Angelou PCS( all campuses),2014-0396,Aga inst LEA,Dunba r High School,Anacostia Senior High School
IDEAL Academy PCS( all campuses),2014-0394,Aga inst LEA,Dunba r High School,Anacostia Senior High School
IDEAL Academy PCS( all campuses),2014-0394,Aga inst LEA,Non -Attending,Anacostia Senior High School
Non-Attendi,2014-0397,Aga inst LEA,Non -Attending,Dunbar High School
Non-Attendi,2014-0397,Aga inst LEA,Non-Attending,Dunbar High School
Non-Attendi,2014-0397,Aga inst LEA,Capita l City PCS,Dunbar High School
Capita l Cit y PCS,2014-0398,Aga inst LEA,Capita l City PCS,Anacost ia Senior High School
Lab School of Was hington,2014-0400,Aga inst LEA,Capita l City PCS,Hardy MS@ Hami lton Schoo l
Lab School of Was hington,2014-0400,Aga inst LEA,El iot -Hine Middle School,Hardy MS@ Hami lton Schoo l
Cardo20 High Schoo l,2014-0399,Aga inst LEA,El iot-H ine Middle School,El iot -Hine M idd le School
Cardo20 High Schoo l,2014-0399,Aga inst LEA,El iot -Hine Middle School,El iot -Hine M idd le School
Lab School of Was hingto n,2014-0401,Aga inst LEA,El iot -Hine Middle School,Kingsb ury Day School
Lab School of Was hingto n,2014-0401,Aga inst LEA,Deal Middle School,Kingsb ury Day School
Lab School of Was hingto n,2014-0401,Aga inst LEA,Deal M iddle School,Kingsb ury Day School
Deal Middle,2014-0402,Aga inst LEA,Deal M iddle School,Deal Middle Schoo l
Deal Middle,2014-0402,Aga inst LEA,Deal Middle School,Deal Middle Schoo l
Deal Middle,2014-0402,Aga inst LEA,High Road DC A-M,Deal Middle Schoo l
High Road DC A-M,2014-0403,Aga inst LEA,High Road DC A-M,Deal Middle Schoo l
Maya Angelou PCS( all campuses),"....,._ ,.~. ~ .. ................ 2014-0404",Aga inst LEA,High Road DC A-M,Easte rn High Schoo l
Maya Angelou PCS( all campuses),"....,._ ,.~. ~ .. ................ 2014-0404",Aga inst LEA,Yout h Services Center,Easte rn High Schoo l
Maya Angelou PCS( all campuses),"....,._ ,.~. ~ .. ................ 2014-0404",Expedited NON,Yout h Services Center,Easte rn High Schoo l
Youth Serv ices Cente r,2014-0405,Expedited NON,Youth ServicesC enter,Youth Serv ices Center
Youth Serv ices Cente r,2014-0405,Discipline,Youth ServicesC enter,Youth Serv ices Center
Youth Serv ices Cente r,2014-0405,Discipline,Yout h Services Center,Youth Serv ices Center
Youth Serv ices Cente r,2014-0405,Discipline,Garfi eld ES,Youth Serv ices Center
Garfield,2014-0406,Against LEA,Garfi eld ES,Garfiel d ES
Garfield,2014-0406,Against LEA,Kingsbury Day School,Garfiel d ES
Kingsbury Day School,2014-0408,Against LEA,Kingsbury Day School,Hart M iddle Schoo l
High Road PG,2014-0407,Against LEA,Kingsbury Day School,McKinley Technology High
High Road PG,2014-0407,Against LEA,Ballou Senior High School,McKinley Technology High
Ballou Senior High School,2014-0409,Against LEA,Ballou Senior High School,Ballou Senior High School
Ballou Senior High School,2014-0349,Against LEA,Ballou Senior High School,Ballou Senior High School
Ballou Senior High School,2014-04 10,Against LEA,Ballou Senior High School,Ballou Senior High School
Brow ne EC,2014-0411,Against LEA,Ballou Senior High School,Brown e EC
Brow ne EC,2014-0411,Against LEA,Wi lson Senior High School,Brown e EC
W ilson Senior High School,2014-04 12,Against LEA,Wi lson Senior High School,Wilson Senior High School
W ilson Senior High School,2014-04 12,Against LEA,Wilson Senior High School,Wilson Senior High School
W ilson Senior High School,2014-04 12,Against LEA,Cardozo High School,Wilson Senior High School
Cardozo High School,2014-0362,Against LEA,Cardozo High School,Cardozo Educationa l Campus
Cardozo High School,2014-0362,Against LEA,Lab School of Wash ington,Cardozo Educationa l Campus
Lab School of Washington,2014-0373,Against LEA,Lab School of Wash ington,Hardy MS@ Hamilton School
E.L. Haynes PCS,2014-04 14,Against LEA,Lab School of Wash ington,Roosevelt High School
E.L. Haynes PCS,2014-04 14,Against LEA,Ballou Senior High School,Roosevelt High School
Bal lou Senior High Schoo l,2014-0413,Against LEA,Ballou Senior High School,Roosevelt High School
Bal lou Senior High Schoo l,2014-0413,Against LEA,Wi lson Senior High School,Roosevelt High School
Wilson Senio r High School,2014-041S,Against LEA,Wi lson Senior High School,Wilson Senior High School
Wilson Senio r High School,2014-041S,Against LEA,H.D. Woodson Senior High School,H.D. Woodson Senior High
Non-Attend ing,2014-04 18,Against LEA,H.D. Woodson Senior High School,H.D. Woodson Senior High
Non-Attend ing,2014-04 18,Against LEA,H.D. Woodson Senior High School,School
Non-Attend ing,2014-04 18,Against LEA,Browne EC,School
..,2014-04 18,Against LEA,Browne EC,. .
..,2014-04 18,Against LEA,Johnson MS,. .
Johnson MS,2014-0417,Against LEA,Johnson MS,Johnson MS
Johnson MS,2014-0417,Against LEA,School Without Walls High School,Johnson MS
Johnson MS,2014-0417,Against LEA,School Without Walls High School,School Without Walls High
School Withou t Walls High School,2014-0419,Against LEA,School Without Walls High School,School Without Walls High
School Withou t Walls High School,2014-0419,Against LEA,School Without Walls High School,School
School Withou t Walls High School,2014-0419,Against LEA,School Without Walls High Schoo l,School
School Withou t Walls High School,2014-0419,Against LEA,Ma mie D. Lee School,School
Mam ie D. Lee School,2014-0421,Against LEA,Ma mie D. Lee School,Walker-Jones/T urne r EC
Opt ions PCS,2014-0420,Against LEA,Ballou Senior High School,Ballou Senior High Schoo l
Merid ian PCS,2014-0422,Against LEA,Ballou Senior High School,Meridian PCS
Merid ian PCS,2014-0423,Against LEA,Ballou Senior High School,Meridian PCS
Merid ian PCS,2014-0423,Against LEA,Ludlow-Taylo r ES,Meridian PCS
Ludlow-Taylor,2014-0424,Against LEA,Ludlow-Taylo r ES,Meridian PCS
Ludlow-Taylor,2014-0424,Against LEA,Ludlow-Taylor ES,Meridian PCS
Ludlow-Taylor,2014-0424,Against LEA,Kingsbury Day School,Meridian PCS
Kingsbury Day School,2014-0425,Against LEA,Kingsbury Day School,Hyde ES
Kingsbury Day School,2014-0425,Against LEA,Jefferson MS,Hyde ES
Jefferson MS,2014-0426,Against LEA,Jefferson MS,Jefferson MS
Jefferson MS,2014-0426,Against LEA,Na lie Elementary School,Jefferson MS
Nalle Eleme ntary School,2014-0427,Against LEA,Na lie Elementary School,Nalle Elementary School
Nalle Eleme ntary School,2014-0427,Against LEA,Na lie Elementar y School,Nalle Elementary School
Nalle Eleme ntary School,2014-0427,Against LEA,Democracy Prep Public Charter School,Nalle Elementary School
Democracy Prep Publ ic Charter School,2014-0430,Against LEA,Democracy Prep Public Charter School,Nalle Elementary School
Democracy Prep Publ ic Charter School,2014-0430,Against LEA,Democracy Prep Public Charte r School,Nalle Elementary School
Democracy Prep Publ ic Charter School,2014-0430,Against LEA,Hend ley Elementary,Nalle Elementary School
Hendley Elementary School,2014-0428,Against LEA,Hend ley Elementary,Hendley Elementary School
Hendley Elementary School,2014-0428,Against LEA,Friendship Public Charte r School (all campuses),Hendley Elementary School
Hendley Elementary School,2014-0428,Against LEA,Friendship Public Charte r School (all campuses),Friendship Public Charte r
Friendship Publ ic Charter School (all campuses),2014-0429,Against LEA,Friendsh ip Public Charter School (all campuses),Friendship Public Charte r
Friendship Publ ic Charter School (all campuses),2014-0429,Against LEA,Friendsh ip Public Charter School (all campuses),School (all camp uses)
Friendship Publ ic Charter School (all campuses),2014-0429,Against LEA,Friendship Public Charter School (all camp uses),School (all camp uses)
Friendship Publ ic Charter School (all campuses),2014-0429,Against LEA,Thurgoo d Mars hall Academy PCS,School (all camp uses)
Friendship Publ ic Charter School (all campuses),2014-0429,Against LEA,Thurgood Mars hall Academy PCS,School (all camp uses)
Thurgood Marshall Academy PCS,2014-0431,Against LEA,Thurgood Mars hall Academy PCS,Eastern High School
Thurgood Marshall Academy PCS,2014-0431,Against LEA,High Road DC A·M,Eastern High School
High Road DC A-M,2014-0434,Aga inst LEA,High Road DC A-M,Eastern High School
High Road DC A-M,2014-0434,Aga inst LEA,E.L. Haynes PCS,Eastern High School
E.L. Haynes PCS,2014-0435,Aga inst LEA,E.L. Haynes PCS,E.L. Haynes PCS
E.L. Haynes PCS,2014-0435,Aga inst LEA,Krame r M idd le Schoo l,E.L. Haynes PCS
E.L. Haynes PCS,2014-0435,Aga inst LEA,Kramer M idd le School,E.L. Haynes PCS
Non-Attend,2014-0432,Aga inst LEA,Kramer M idd le School,E.L. Haynes PCS
Non-Attend,2014-0432,Aga inst LEA,Krame r M idd le School,E.L. Haynes PCS
May a Angelou PCS (all campuses),2014-0433,Aga inst LEA,Kramer M idd le School,E.L. Haynes PCS
Episcopal Cente r fo r Children,2014-0437,Aga inst LEA,Kramer M idd le School,Stanton Eleme ntary School
Kelly M il ler MS,2014-0436,Against LEA,Kelly M iller MS,Kelly Miller MS
Kelly M il ler MS,2014-0436,Against LEA,Accoti nk Academy,Kelly Miller MS
Accot ink Acade my,2014-0438,Aga inst LEA,Accotink Academy,Housto n Eleme ntary School
Accot ink Acade my,2014-0438,Aga inst LEA,Accot ink Academy,Housto n Eleme ntary School
Accot ink Acade my,2014-0438,Aga inst LEA,Democr acy Prep Public Cha rte r School,Housto n Eleme ntary School
Accot ink Acade my,2014-0438,Aga inst LEA,Democracy Prep Public Charter School,Housto n Eleme ntary School
Democracy Prep Pub lic Charte r School,2014-0439,Expedited Discip line,Democracy Prep Public Charter School,Housto n Eleme ntary School
Democracy Prep Pub lic Charte r School,2014-0439,Expedited Discip line,Demo cracy Prep Public Chart er School,Housto n Eleme ntary School
Democracy Prep Pub lic Charte r School,2014-0439,Expedited Discip line,Demo cracy Prep Public Char ter School,Housto n Eleme ntary School
High Road DC A-M,2014-0440,Aga inst LEA,Demo cracy Prep Public Char ter School,Housto n Eleme ntary School
High Road DC A-M,2014-0440,Aga inst LEA,Woodson Academy @ Ron Brown,Housto n Eleme ntary School
Foundation Schoo l of Mon tgomery Count y,2014-0441,Aga inst LEA,Wo odso n Academy@ Ron Brown,Housto n Eleme ntary School
Foundation Schoo l of Mon tgomery Count y,2014-0441,Aga inst LEA,Woodson Academy @ Ron Brown,Housto n Eleme ntary School
Foundation Schoo l of Mon tgomery Count y,2014-0441,Aga inst LEA,Kelly M iller MS,Housto n Eleme ntary School
Foundation Schoo l of Mon tgomery Count y,2014-0441,Aga inst LEA,Kelly M iller M S,Housto n Eleme ntary School
Kelly M il ler MS,2014-0442,Aga inst LEA,Kelly M iller M S,Kelly Mille r MS
Kelly M il ler MS,2014-0442,Aga inst LEA,Kelly M iller MS,Kelly Mille r MS
Kelly M il ler MS,2014-0442,Aga inst LEA,Stansbury Academy,Kelly Mille r MS
Stansbury Academy,2014-0443,Against LEA,Stansbury Academy,Kelly Mille r MS
Stansbury Academy,2014-0443,Against LEA,Wilson Senior High School,Kelly Mille r MS
W ilson Senior High School,2014-0445,Against LEA,Wilson Senior High School,Kelly Mille r MS
W ilson Senior High School,2014-0445,Against LEA,Wheat ley ES,Kelly Mille r MS
Wheatley,2014-0444,Against LEA,Wheat ley ES,Kelly Mille r MS
Anacostia Senior High School,2014-0447,Against LEA,Anacost ia Senior High School,Kelly Mille r MS
Options Senior High PCS,2014-0446,Exped ited Discipline,Anacost ia Senior High School,Kelly Mille r MS
Options Senior High PCS,2014-0446,Exped ited Discipline,Anacost ia Senior High School,"•••v-."" ·:: ·_,. ... , 7_, .. .. ..,..,.~"
KIPP (All Campuses),2014-0449,Against LEA,KIPP !Al l Campuses),"•••v-."" ·:: ·_,. ... , 7_, .. .. ..,..,.~"
KIPP (All Campuses),2014-0449,Against LEA,Anacost ia Senior High School,"•••v-."" ·:: ·_,. ... , 7_, .. .. ..,..,.~"
